time_s,x_m,y_m,yaw_rad,icp_rmse_m,pairs,iterations,accepted
64.96000000000001,0.38485472862562686,-0.31375620749505867,-0.39322654842582666,0.016760037106992663,113,6,1
65.152,0.38340706924915646,-0.29646733584468277,-0.24207966422708097,0.020586445632131918,103,4,1
65.34400000000001,0.3774800894443318,-0.28556202401401803,-0.08928531569327748,0.019498563074800173,99,9,1
65.536,0.39552215191108114,-0.29546065169778873,-0.10164429031869018,0.011113853733959797,98,10,1
65.728,0.41349638345270034,-0.30022236855642015,-0.09816613896360196,0.012962392048259419,97,5,1
65.92,0.45191225469892154,-0.30071088496416015,-0.10117414760638575,0.012777268935023314,98,6,1
66.112,0.4733309294924966,-0.30611143021897774,-0.09920565827118619,0.010124332380147894,104,3,1
66.304,0.515115491682176,-0.3054778434870193,-0.10043688672647323,0.010783393209440786,114,7,1
66.496,0.5175863101405779,-0.3067155387201801,-0.20445103159209949,0.008162935267272416,117,6,1
66.688,0.5173348741900504,-0.3060219802479827,-0.3448245682709933,0.007727033976652488,122,4,1
66.88,0.5171001740848064,-0.30491904584383245,-0.4850883291828962,0.007246815378440811,126,3,1
67.072,0.5329026256427793,-0.31787060329449107,-0.48166518075536013,0.009910690623830078,129,5,1
67.264,0.5507806449978085,-0.33036609995698335,-0.4774701338011943,0.011072935307248486,131,5,1
67.456,0.5552938409589221,-0.3305880236770254,-0.5648126076342626,0.00858767962756425,134,6,1
67.648,0.555578187267997,-0.3315484167163727,-0.7044318088499963,0.006392150871568676,137,4,1
67.84,0.5567399703601924,-0.33097728741129245,-0.8445419383340761,0.0064514096590520585,137,3,1
68.032,0.5770297384122008,-0.338541321661141,-0.9924547097628009,0.014488957374492658,137,7,1
68.224,0.5852766413903544,-0.3539806528574855,-1.0407359954187918,0.010075347611936514,138,2,1
68.416,0.5972579258589564,-0.3745040653419293,-1.0352758490534955,0.008267954868129193,138,6,1
68.608,0.6011710030639261,-0.3795763300288291,-1.1390125059642613,0.008624976759392389,139,9,1
68.8,0.6028255444764212,-0.3773809372294485,-1.279647186245242,0.00814527806913818,139,4,1
68.992,0.6028441904179389,-0.3851893743660727,-1.4352734949830137,0.011665206691398812,137,7,1
69.184,0.6040044118182224,-0.3869605202633134,-1.5750655382495289,0.008601894339632031,138,4,1
69.376,0.6040187414038571,-0.404551325571682,-1.570794749296761,0.009139414699166435,138,7,1
69.568,0.6034527610694753,-0.4241297798598518,-1.5657028771847452,0.009900470246796285,138,8,1
69.76,0.601399237202982,-0.44552277609495866,-1.5614979334428778,0.011084139739008434,140,6,1
69.952,0.6033752339529997,-0.4455325542438619,-1.7014485776458785,0.006776375208263903,139,4,1
70.144,0.6019096989900656,-0.46744881101643637,-1.6962583345573996,0.009190024893196298,142,7,1
70.336,0.5986111053897417,-0.4967454324284361,-1.6962656253390096,0.010905507750925447,145,2,1
70.528,0.5941832694008621,-0.5249625373615299,-1.6955123159733205,0.009081833053276275,143,2,1
70.72,0.5902120589935206,-0.5525515723918191,-1.6938366398385278,0.007993901129841222,142,3,1
70.912,0.5873016295814557,-0.5805517056636659,-1.6937406175986252,0.0067179310716961585,137,2,1
71.104,0.5827697306057924,-0.6094732482395605,-1.6932226370991375,0.007093702416197395,137,2,1
71.296,0.5792974383634991,-0.6351040153879429,-1.691711334535071,0.006687880765991569,137,5,1
71.488,0.5766385381691801,-0.6635008991919706,-1.6917987723862569,0.006572363136834683,137,2,1
71.68,0.5724590675231513,-0.696540511940303,-1.6919970791312076,0.007238665304846252,133,4,1
71.872,0.568835265575503,-0.7253701153114099,-1.691955825245512,0.007300610841715183,131,2,1
72.06400000000001,0.5665504364390956,-0.7512832384855024,-1.6911583589532657,0.00700724638508085,130,4,1
72.256,0.5613695175596601,-0.7783007599697396,-1.6904401412876495,0.006989017250214648,129,3,1
72.44800000000001,0.5584682654160416,-0.8074724595356948,-1.689551869176169,0.007971927989992248,130,2,1
72.64,0.5567746412570987,-0.826869999668699,-1.7391746468969764,0.007258708104294265,132,4,1
72.83200000000001,0.5554204609456348,-0.8310839634650531,-1.878774834633506,0.00646798100952267,131,4,1
73.024,0.5547745837651359,-0.8322411390568906,-2.018269289936201,0.006971480827874195,131,4,1
73.21600000000001,0.5433323386243594,-0.84529048758481,-2.1152784641518325,0.010311550491722239,131,5,1
73.408,0.5311765180294273,-0.8689844885438345,-2.1151975336239004,0.01088245238226442,131,2,1
73.60000000000001,0.5166661087734501,-0.8948640339489897,-2.114986067044285,0.009948639884726617,133,2,1
73.792,0.5062163709020849,-0.9110959845649071,-2.1628386417471743,0.00966308730618135,133,2,1
73.984,0.49232940812965936,-0.9363389942882757,-2.1613461606731454,0.007539637024431768,133,4,1
74.176,0.475280646177598,-0.9603854676196255,-2.1611788530215748,0.007454504111803399,133,2,1
74.368,0.46782605893014245,-0.9709355696854759,-2.260694916495102,0.006832382484349205,134,6,1
74.56,0.4666648886084911,-0.9765389386931161,-2.399777222715085,0.007366114096589411,133,5,1
74.752,0.4638680974306859,-0.9789779606297669,-2.539211851109542,0.0072545793374135985,132,4,1
74.944,0.4451537988146005,-0.9935725494078425,-2.5345222963547442,0.00930429969616417,132,9,1
75.136,0.420044360337952,-1.0093109428166434,-2.5349678349806357,0.009758955407666896,133,2,1
75.328,0.40060564709158314,-1.0288123884556006,-2.5327946545643707,0.007823545770914982,131,6,1
75.52,0.3859270303948252,-1.0392516231923146,-2.582637373822949,0.009928296422634948,134,3,1
75.712,0.3836471239523292,-1.040760405057161,-2.722090845191805,0.007676362115061385,133,4,1
75.904,0.3811919070292901,-1.0447631248760179,-2.8615998578501793,0.007713691949540009,133,3,1
76.096,0.3778053970943729,-1.0529357785450322,-3.0007312902163386,0.01124921681492125,133,4,1
76.288,0.3747127591684176,-1.056046866482493,-3.139422147796952,0.009434590116175092,133,4,1
76.48,0.3448186739686171,-1.0609304002188649,3.1019686378634646,0.013635718329484707,135,5,1
76.672,0.3238706245000368,-1.0582295446231011,3.1009474695048107,0.007855731348054382,134,6,1
76.864,0.29098847411973877,-1.0581383632378005,3.1017205002834705,0.009913945794116558,135,4,1
77.056,0.2930107974050923,-1.0600997651789865,2.959316260490175,0.009418126839867725,133,3,1
77.248,0.274713262631913,-1.060584003709702,2.914886229850259,0.009574995937991918,135,6,1
77.44,0.24445488741731974,-1.0530370771497648,2.9156482116855855,0.007529605618826366,136,3,1
77.632,0.21404616813701818,-1.046241211960824,2.915877590478966,0.006734678853741063,138,3,1
77.824,0.1857227644366649,-1.0397747101266583,2.9164394056148835,0.007899821696044076,140,2,1
78.016,0.1570295185222885,-1.0335035153733534,2.915864900853201,0.00680163127557989,140,2,1
78.208,0.12937454217758795,-1.0277046866832351,2.9146484337208545,0.006225742439579253,140,3,1
78.4,0.10100172940021723,-1.0203292773046178,2.9146912490699597,0.006714715008571836,140,2,1
78.592,0.07266902834288688,-1.0140861751551657,2.914236399160295,0.007116068839902885,138,2,1
78.784,0.04388434268851404,-1.0078725973213294,2.9141159141224398,0.006523415782563431,139,2,1
78.976,0.017458342713488458,-1.0012413012178996,2.913886475634841,0.006995610149507491,139,2,1
79.168,-0.01126662786797672,-0.9946138474088747,2.912772236699087,0.006433443846570182,137,3,1
79.36,-0.03982300326400366,-0.9871205076837207,2.9133282886000793,0.0070198705664543965,137,2,1
79.552,-0.0676032085809157,-0.9798723460877553,2.9130076503174944,0.007153498927408253,134,2,1
79.744,-0.09598060796740532,-0.9736315277754364,2.9123958132871146,0.0069374182779249685,133,2,1
79.936,-0.12376177127139636,-0.9665838647982401,2.911332003862213,0.006458479215040009,134,3,1
80.128,-0.1511888377837476,-0.9601026244292667,2.9110886841866592,0.006512949626649442,133,2,1
80.32000000000001,-0.1797868795519992,-0.9531552561081665,2.9102947267254,0.0067580784878472884,132,2,1
80.512,-0.20663969900637577,-0.9459627386839311,2.910052255762679,0.006632031432783188,132,2,1
80.70400000000001,-0.21042963207796084,-0.9460258341612222,2.7701466113797255,0.005967736657075013,133,4,1
80.896,-0.21352329282230104,-0.947177410868937,2.6300050347064543,0.0065024764761119755,132,3,1
81.08800000000001,-0.2174237309690314,-0.9477781581815993,2.4912820169576992,0.008015299650099153,132,4,1
81.28,-0.238202787236634,-0.946857224101945,2.452807639893182,0.009593067579810276,132,9,1
81.47200000000001,-0.258258202077041,-0.9278730950939568,2.4560858217827195,0.008649766682988145,132,5,1
81.664,-0.2789982727885696,-0.9089656911470357,2.4564466029248857,0.008177584385237672,131,2,1
81.85600000000001,-0.3009953751282004,-0.892885386339769,2.457841535796018,0.008550872587313841,131,3,1
82.048,-0.322910704575649,-0.876184978618344,2.458280883327779,0.007458886579392266,131,2,1
82.24,-0.34479209696117363,-0.8573557882361806,2.4604629526772204,0.006810735238861511,130,5,1
82.432,-0.36677748328601034,-0.842045903911216,2.46055831202003,0.007774056222397785,129,3,1
82.624,-0.389521481926801,-0.8239197613841343,2.4608759427557363,0.008240544463965483,130,2,1
82.816,-0.41205439342119976,-0.8061820000915951,2.4617227307771063,0.008198080321467661,130,2,1
83.008,-0.4320009577143222,-0.7878330878980263,2.46387575411971,0.007536794691380908,131,5,1
83.2,-0.4553919064084318,-0.7705986446196681,2.464933980994745,0.007440606459819672,131,3,1
83.392,-0.4778947891941764,-0.752991733443847,2.4656265424219597,0.007990781241533964,131,2,1
83.584,-0.49970374193818184,-0.7350454082886637,2.467459102678366,0.007328332952179984,131,4,1
83.776,-0.513409808626014,-0.7212203824555633,2.514082949648742,0.00734434649543755,131,3,1
83.968,-0.5097229072339151,-0.7198228078131381,2.6539322624988486,0.006802283351360843,131,4,1
84.16,-0.534699603093648,-0.7048372951973365,2.653956052738391,0.007952983052608359,130,2,1
84.352,-0.5573450512275524,-0.691572982686083,2.6541362244664874,0.006789996589047256,129,4,1
84.544,-0.5828534052165387,-0.6804495656980146,2.6552031732514907,0.008028318372334718,129,3,1
84.736,-0.6060948782918074,-0.6661418532262825,2.657555396539976,0.006637948328168198,128,4,1
84.928,-0.6306144464584837,-0.6523370818856374,2.6585632295847708,0.006965940254135931,128,3,1
85.12,-0.6551839199481075,-0.6398540292496674,2.6593641490078435,0.007541678235788206,127,3,1
85.312,-0.6788817708825358,-0.626566076346219,2.6606350265545964,0.007607470883829721,130,3,1
85.504,-0.7058706007854392,-0.6131822724007308,2.6606721023241766,0.007074716435463892,130,2,1
85.696,-0.7313416395461217,-0.601211192118064,2.6611380969023553,0.0068697364627034905,130,2,1
85.888,-0.7572492304257876,-0.5875777995618612,2.6617299089431623,0.007656412129010449,130,2,1
86.08,-0.7833459131721537,-0.5738360571718697,2.661590674966153,0.0067459965410262,129,2,1
86.272,-0.8080966755443172,-0.5598990145641443,2.6617522603472015,0.00608630028326306,125,2,1
86.464,-0.8337928431413398,-0.5467386079469467,2.662160089673107,0.006812294258183521,123,2,1
86.656,-0.8598721355499257,-0.5336184128653295,2.6622636315377224,0.006308233060594697,124,2,1
86.848,-0.8856044418100519,-0.5204572219466611,2.6623504043831385,0.006292023635803423,124,2,1
87.04,-0.9105029973939361,-0.5071894270676399,2.662629087954089,0.00623655096161656,122,2,1
87.232,-0.9358646963983822,-0.49281388670832077,2.663210658102462,0.006850949169096104,123,2,1
87.424,-0.9613133735392433,-0.47984636615976795,2.6632487628109707,0.006242957332473278,123,2,1
87.616,-0.9862622225048558,-0.466319754416013,2.6634892357756597,0.0062484126042746755,124,2,1
87.808,-1.0109915548520758,-0.45301844522690654,2.663914917377423,0.006042868265661698,123,2,1
88.0,-1.0371878854207643,-0.440632075017105,2.6643107848861,0.006245359213125436,124,2,1
88.19200000000001,-1.0633458650648862,-0.42770007455869036,2.664513738808833,0.005905192922279923,124,2,1
88.384,-1.0890548691341073,-0.4142670383105547,2.664839607288193,0.00667545214507328,125,2,1
88.57600000000001,-1.114581524246115,-0.40164626562911765,2.665151611002457,0.006446843651542728,125,2,1
88.768,-1.1402859176278326,-0.388560299073296,2.664175737984795,0.007025991632376208,127,2,1
88.96000000000001,-1.1661063889208156,-0.37507201965263326,2.6648172169726934,0.00711570476067512,128,2,1
89.152,-1.1921809191357275,-0.362980809102618,2.664589446506812,0.006006601307283716,127,2,1
89.34400000000001,-1.2181922953024125,-0.34899730813572594,2.6654029901107035,0.0065473873347583166,129,2,1
89.536,-1.2429529685111067,-0.33754546897339904,2.6673860120987336,0.006171081118148941,131,4,1
89.72800000000001,-1.2679743044625027,-0.3259298461142258,2.6680947445626906,0.006165478142838664,131,3,1
89.92,-1.2943670846405881,-0.31181871209166745,2.668269426426163,0.006569172771040257,134,2,1
90.112,-1.3202078259908832,-0.298319497872509,2.6680275307579873,0.006192913419892794,133,2,1
90.304,-1.345749533231892,-0.28562152467210095,2.6671105263152226,0.007113250256978875,131,2,1
90.496,-1.3712559419296464,-0.27202291965884956,2.666346934321944,0.006385981200662839,132,2,1
90.688,-1.3972405730999478,-0.25878131450411934,2.665694241893074,0.006098059890197457,132,2,1
90.88,-1.4246276574447643,-0.24474189252137837,2.6648003926422357,0.005915727901908352,131,3,1
91.072,-1.449855158395117,-0.23193810961743755,2.6643563404174992,0.006128242160117516,131,2,1
91.264,-1.449126749367866,-0.23211434012829762,2.5223550361230704,0.0092384659752973,131,3,1
91.456,-1.454210328961556,-0.23174663428733874,2.3854568029027137,0.008468373817584003,131,5,1
91.648,-1.4692118449256726,-0.21739815811038715,2.344606748883718,0.007892031035493036,131,6,1
91.84,-1.4867427164992009,-0.19606496054601857,2.343820729463464,0.007231710816212789,130,4,1
92.032,-1.5097847290144089,-0.17552143166362863,2.3462182627852375,0.006456425163586762,129,5,1
92.224,-1.5299207778265556,-0.1548345686520908,2.3466519053658708,0.0067621653687367205,131,2,1
92.416,-1.5495952086121154,-0.13362391537585155,2.3469177615959076,0.007295256260089404,132,2,1
92.608,-1.5697574220522386,-0.1129324822734578,2.346766935940115,0.006669450731341839,131,2,1
92.8,-1.5886726585397766,-0.0934309748714817,2.3469686068365614,0.006386292459935366,131,2,1
